City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port Alfred,100,ZA,1578442267,98,-33.59,26.89,68,4
Colquechaca,100,BO,1578442323,77,-18.7,-66,53.89,6.82
Brae,98,GB,1578442324,70,60.4,-1.35,46.4,38.03
Puerto Narino,20,CO,1578442324,79,-3.77,-70.38,86,2.04
Danville,1,US,1578442240,58,37.82,-122,57.99,8.05
Constitucion,5,MX,1578442324,15,23.99,-104.67,68,5.82
Leningradskiy,77,RU,1578442298,91,69.38,178.42,-12.08,11.03
Mount Gambier,89,AU,1578442325,56,-37.83,140.78,71.6,11.41
Perene,50,PE,1578442325,97,-10.95,-75.23,65.43,0.4
Palmer,1,AU,1578442325,41,-34.85,139.16,87.01,8.05
Acapulco,40,MX,1578442048,78,16.86,-99.88,82.4,3.36
Punta Arenas,92,CL,1578442064,47,-53.16,-70.91,57.2,12.75
Humaita,75,AR,1578442326,77,-24.93,-65.37,75.2,6.93
Bethel,1,US,1578442326,68,60.79,-161.76,-16.6,17.22
Ganzhou,50,CN,1578442326,81,25.86,114.93,47.61,5.91
Pirgos,75,GR,1578442327,87,35.12,25.72,50,32.21
Lavrentiya,37,RU,1578442327,93,65.58,-170.99,-12.46,2.24
Hobyo,92,SO,1578442327,80,5.35,48.53,76.66,13.85
Dikson,93,RU,1578442327,97,73.51,80.55,-0.76,8.75
Cape Town,75,ZA,1578442097,100,-33.93,18.42,68,4.7
Hue,40,VN,1578442328,94,16.47,107.58,71.6,3.36
Rumoi,75,JP,1578442328,84,43.93,141.67,8.6,1.12
Tiksi,97,RU,1578442328,89,71.64,128.87,-8.39,5.39
Avarua,68,CK,1578442329,78,-21.21,-159.78,82.4,8.05
Kyshtovka,100,RU,1578442329,96,56.56,76.62,5.16,4.85
Nome,1,US,1578442329,47,30.04,-94.42,57.99,3.36
Teknaf,11,BD,1578442329,80,20.86,92.31,54.97,1.68
Lagoa,0,PT,1578442330,87,37.14,-8.45,54,6.93
Taksimo,0,RU,1578442331,97,56.36,114.84,-13.23,0.51
Bluff,57,AU,1578442331,53,-23.58,149.07,81.88,10.76
Zhangye,99,CN,1578442331,65,38.94,100.46,18.21,0.25
Tsumeb,100,NA,1578442331,59,-19.25,17.72,67.75,6.85
Kichmengskiy Gorodok,95,RU,1578442331,94,59.99,45.81,16.86,7.54
Corrales,27,CO,1578442332,96,5.83,-72.84,47.84,1.07
San Cristobal,61,HN,1578442332,94,14.68,-86.92,64.11,5.84
Puerto Ayora,75,EC,1578442332,74,-0.74,-90.35,80.6,9.17
Masyaf,90,SY,1578442332,87,35.06,36.34,50,17.22
Yulara,100,AU,1578442333,33,-25.24,130.99,86,16.11
Deori Khas,26,IN,1578442333,76,23.39,79.03,58.42,2.51
Kourou,95,GF,1578442333,83,5.16,-52.64,80.6,4.7
Buala,76,SB,1578442333,77,-8.15,159.59,84.16,11.52
Egvekinot,0,RU,1578442276,65,66.32,-179.17,-18.17,3.33
Port Elizabeth,90,US,1578442334,93,39.31,-74.98,42.01,8.05
Cabo San Lucas,20,MX,1578442138,68,22.89,-109.91,75,10.29
Flagstaff,1,US,1578442334,44,35.2,-111.65,59,3.36
Tuatapere,100,NZ,1578442282,50,-46.13,167.69,60.22,3.58
Kalemie,93,CD,1578442335,92,-5.95,29.2,64.87,1.88
Kotido,58,UG,1578442335,60,3.01,34.12,73.22,13.49
Saint-Joseph,19,FR,1578442043,93,43.56,6.97,48.99,4.7
Maumere,100,ID,1578442336,82,-8.63,122.22,79.74,12.55
Cruz,89,BR,1578442336,86,-2.92,-40.18,77.14,3.76
Talnakh,75,RU,1578442302,91,69.49,88.39,3.2,20.13
Batabano,40,CU,1578442337,77,22.72,-82.29,69.8,10.29
Ust-Kan,34,RU,1578442337,77,50.93,84.77,1.6,4.38
Camacha,40,PT,1578442337,63,33.08,-16.33,62.6,13.87
Bambous Virieux,75,MU,1578442337,88,-20.34,57.76,78.8,5.61
Biltine,0,TD,1578442337,23,14.53,20.93,68.25,10.74
Katsuura,40,JP,1578442338,93,33.93,134.5,59,5.82
Grindavik,90,IS,1578442338,100,63.84,-22.43,26.6,40.26
Isangel,75,VU,1578442297,65,-19.55,169.27,82.4,11.41
Arraial do Cabo,20,BR,1578441925,83,-22.97,-42.02,80.6,3.36
Puerto del Rosario,40,ES,1578442339,72,28.5,-13.86,64.4,18.34
Vizinga,100,RU,1578442339,93,61.08,50.08,17.85,7.67
Gunjur,100,GM,1578442339,52,13.18,-16.76,66.2,5.82
Thinadhoo,65,MV,1578442340,78,0.53,72.93,82.83,13.67
San Andres,82,PH,1578442340,83,13.32,122.68,77.81,8.19
Alta Floresta,26,BR,1578442340,93,-9.87,-56.08,73.71,2.48
Tasiilaq,100,GL,1578442340,45,65.61,-37.64,7.52,28.07
Lata,100,IN,1578442341,99,30.78,78.62,11.82,7.27
Prainha,46,BR,1578442341,76,-1.8,-53.48,78.15,3.27
Sechura,72,PE,1578442341,83,-5.56,-80.82,72.59,15.95
Sur,0,OM,1578442298,53,22.57,59.53,67.55,11.86
San Ignacio,8,PE,1578442341,94,-5.15,-79,65.12,2.3
Nerchinskiy Zavod,1,RU,1578442342,90,51.31,119.61,-8.57,3.18
Hasaki,75,JP,1578442342,100,35.73,140.83,41,1.12
Huarmey,50,PE,1578442342,72,-10.07,-78.15,71.46,6.71
Saint Andrews,71,NZ,1578442342,55,-44.53,171.19,63,7
Dicabisagan,35,PH,1578442343,83,17.08,122.42,77.43,7.27
Pevek,0,RU,1578442343,76,69.7,170.27,-9.54,13.49
Srivardhan,37,IN,1578442343,83,18.03,73.02,72.7,7.07
Wanxian,100,CN,1578442343,88,30.8,108.39,43.68,6.42
Ilhabela,89,BR,1578442060,85,-23.78,-45.36,79.66,2.3
Portland,75,US,1578441826,68,43.66,-70.25,33.01,5.82
Heihe,0,RU,1578442344,76,50.24,127.51,-11.2,1.61
Boguchany,96,RU,1578442344,97,58.38,97.46,5.22,3.47
Kruisfontein,99,ZA,1578442344,95,-34,24.73,65.73,5.53
Ust-Nera,100,RU,1578442345,99,64.57,143.24,-24.88,1.83
Bireun,100,ID,1578442345,91,5.2,96.7,64.72,1.39
Tabas,0,IR,1578442345,47,33.6,56.92,35.6,4.7
Margate,20,AU,1578442345,42,-43.03,147.26,81,6.93
West Lafayette,90,US,1578442209,69,40.43,-86.91,39.2,8.05
Preobrazheniye,100,RU,1578442325,77,42.9,133.91,26.1,10.47
Aljezur,4,PT,1578442346,72,37.31,-8.8,54,12.55
Eureka,75,US,1578442346,93,40.8,-124.16,51.8,6.93
Berlevag,75,NO,1578442346,87,70.86,29.09,35.6,13.87
Arlit,62,NE,1578442347,14,18.74,7.39,64.22,13.96
Monrovia,20,LR,1578442347,94,6.33,-10.8,75.2,7.47
Ojinaga,1,US,1578442347,18,29.56,-104.41,62.6,4.7
Vostok,96,RU,1578442347,76,46.45,135.83,9.93,1.97
Hambantota,82,LK,1578442327,79,6.12,81.12,79.92,21.47
Waipawa,17,NZ,1578442348,43,-39.94,176.59,71.01,5.57
Najran,0,SA,1578442348,72,17.54,44.22,59,4.7
Aksha,0,RU,1578442348,90,50.28,113.29,-3.91,2.66
Qasigiannguit,40,GL,1578442348,49,68.82,-51.19,-2.2,14.99
Aberdeen,90,US,1578442348,100,46.98,-123.82,48.99,17.22
Tashtyp,100,RU,1578442349,88,52.8,89.89,9.21,2.68
Ilulissat,40,GL,1578442349,49,69.22,-51.1,-2.2,14.99
Salta,75,AR,1578442349,77,-24.79,-65.41,75.2,6.93
Hithadhoo,98,MV,1578442349,76,-0.6,73.08,83.32,11.1
Cockburn Town,16,TC,1578442296,80,21.46,-71.14,78.24,14.7
Coahuayana,40,MX,1578442350,33,18.62,-100.35,81.68,2.28
Rio Gallegos,75,AR,1578442350,87,-51.62,-69.22,50,11.41
Samfya,100,ZM,1578442350,96,-11.37,29.56,64.69,3.06
Wladyslawowo,90,PL,1578442350,93,54.79,18.4,39.99,9.17
Cururupu,45,BR,1578442350,90,-1.82,-44.87,74.91,2.66
Khandbari,85,NP,1578442350,76,27.38,87.21,31.62,3.04
Riyadh,0,SA,1578442351,66,24.63,46.72,50,5.82
Cardston,1,CA,1578442351,92,49.2,-113.32,26.6,4.07
Bulgan,0,MN,1578442351,78,48.81,103.53,-5.84,2.53
Kahului,40,US,1578442351,57,20.89,-156.47,80.6,20.8
Murgab,0,TM,1578442351,70,37.5,61.97,32,6.93
Port Angeles,90,US,1578442235,87,48.12,-123.43,52,5.82
Port Hardy,90,CA,1578442312,93,50.7,-127.42,39.2,8.05
Jalalpur Pirwala,0,PK,1578442352,83,29.5,71.22,50.09,4.16
Vanavara,95,RU,1578442352,97,60.35,102.28,5.49,5.17
San Jose,90,HN,1578442353,78,14.25,-87.96,71.6,18.34
Santa Rosa,99,AR,1578442100,27,-36.62,-64.29,77.09,8.48
Pedernales,51,EC,1578442353,91,0.07,-80.05,74.03,4.41
Salalah,0,OM,1578442353,53,17.01,54.1,75.2,11.41
Souillac,90,FR,1578442350,100,45.6,-0.6,52,5.82
Nuevo Progreso,20,US,1578442354,45,26.05,-97.95,66.99,10.29
Guerrero Negro,93,MX,1578442354,31,27.97,-114.04,69.53,6.69
Sharjah,0,AE,1578442354,63,25.36,55.39,64.4,3.36
Tupik,17,RU,1578442354,87,54.43,119.94,-12.19,2.1
Qaqortoq,100,GL,1578442355,78,60.72,-46.03,10.4,2.24
Bathsheba,40,BB,1578442355,74,13.22,-59.52,78.8,16.11
Trat,100,TH,1578442355,66,12.25,102.51,80.01,6.51
Lesnoy,100,RU,1578442355,95,59.78,52.13,14.9,8.03
Nanortalik,100,GL,1578442356,88,60.14,-45.24,21.47,4.32
Lake Havasu City,1,US,1578442222,27,34.47,-114.34,64.99,3.36
Coihaique,90,CL,1578442356,81,-45.58,-72.07,46.4,4.7
Alakurtti,97,RU,1578442356,94,66.96,30.34,28.99,4
Comodoro Rivadavia,20,AR,1578442357,28,-45.87,-67.48,71.6,28.86
Dezful,0,IR,1578442357,52,32.38,48.4,49.78,1.7
Novita,70,CO,1578442357,96,4.96,-76.61,71.91,1.61
Fairbanks,75,US,1578442278,67,64.84,-147.72,-22,1.03
Luwuk,98,ID,1578442357,72,-0.95,122.79,82.76,9.8
Saint-Francois,90,FR,1578442358,87,46.42,3.91,44.6,3.36
Paamiut,100,GL,1578442358,76,61.99,-49.67,14.59,10.33
Dahod,2,IN,1578442358,79,22.84,74.26,62.92,1.16
Kloulklubed,75,PW,1578442300,78,7.04,134.26,80.6,14.99
East London,100,ZA,1578442358,88,-33.02,27.91,74.71,17.07
Jinchang,100,CN,1578442359,65,38.52,102.19,16.54,1.92
Te Anau,100,NZ,1578442359,72,-45.41,167.72,50.25,4.12
Chernyshevskiy,100,RU,1578442359,95,63.01,112.47,8.02,6.89
Barguzin,87,RU,1578442360,98,53.62,109.63,-4.05,5.61
Yaroslavskiy,100,RU,1578442360,90,44.19,132.23,12.96,15.39
Karaidel,90,RU,1578442360,96,55.83,56.91,13.17,1.12
Coromandel,96,BR,1578442361,95,-18.47,-47.2,70.47,3.02
Sao Filipe,96,CV,1578442361,74,14.9,-24.5,67.71,23.58
Storslett,100,NO,1578442361,68,69.77,21.03,36.95,22.97
Henties Bay,0,NA,1578442361,88,-22.12,14.28,64.99,1.99
Richards Bay,98,ZA,1578442361,80,-28.77,32.06,77.43,14.61
Nemuro,75,JP,1578442362,85,43.32,145.57,23,5.41
Haines Junction,100,CA,1578442362,98,60.75,-137.51,-7.58,4.99
Kununurra,90,AU,1578442362,74,-15.77,128.74,84.2,9.17
Palana,94,RU,1578442308,76,59.08,159.95,11.21,4.76
Mpongwe,100,ZM,1578442362,96,-13.51,28.16,63.79,2.04
Aracoiaba,14,BR,1578442335,81,-4.37,-38.81,76.24,2.35
Wucheng,0,CN,1578442363,82,29.09,119.57,41.2,3.47
Ogaminana,99,NG,1578442363,31,7.6,6.2,78.94,1.36
Yumen,29,CN,1578442363,76,40.29,97.04,10.26,2.39
Castro,90,CL,1578442361,81,-42.48,-73.76,53.6,6.93
Fukue,75,JP,1578442364,100,35.03,136.69,50,4.7
San Patricio,0,PY,1578442364,30,-26.98,-56.83,77.5,4.27
Tlaltenango,5,MX,1578442364,20,19.17,-98.35,62.6,5.82
Yar-Sale,12,RU,1578442279,85,66.83,70.83,-0.69,5.08
Kavieng,77,PG,1578442365,79,-2.57,150.8,83.3,14.47
Meulaboh,98,ID,1578442365,77,4.14,96.13,79.93,6.8
Myaundzha,83,RU,1578442365,89,63.05,147.18,-26.41,1.79
Pareora,71,NZ,1578442365,55,-44.49,171.21,63,7
Seymchan,47,RU,1578442366,92,62.93,152.39,-26.57,0.56
Alyangula,40,AU,1578442366,70,-13.85,136.42,87.8,13.87
Veraval,90,FR,1578442366,93,49.65,0.71,54,11.41
Aswan,0,EG,1578442275,54,24.09,32.9,48.65,11.1
Severnoye,91,RU,1578442366,96,54.09,52.54,13.33,3.38
Mao,40,DO,1578442367,78,19.55,-71.08,78.8,9.17
Kangaatsiaq,100,GL,1578442367,99,68.31,-53.46,-1.37,18.41
Mayachnyy,100,RU,1578442367,96,52.68,55.69,20.61,4.83
La Crosse,1,US,1578442070,68,43.8,-91.24,28.99,12.75
Tottori,40,JP,1578442368,59,35.5,134.23,60.8,8.05
Lebu,87,ET,1578442297,90,8.96,38.73,52.21,1.99
Mayna,96,RU,1578442368,82,53,91.49,11.61,2.42
La Paz,20,MX,1578442368,46,24.15,-110.32,71.6,11.41
Cheyenne,1,US,1578442369,35,41.14,-104.82,46.99,20.8
Vestmanna,100,FO,1578442369,64,62.16,-7.17,37.4,38.03
Changping,19,CN,1578442369,53,40.22,116.23,32,8.95
Zaysan,92,KZ,1578442369,76,47.47,84.87,1.69,1.54
Siwana,22,IN,1578442370,84,25.65,72.42,54.81,4.88
Launceston,40,AU,1578442370,52,-41.43,147.14,72,3.36
Vestmannaeyjar,100,IS,1578442370,62,63.44,-20.27,31.62,49.21
Hirara,20,JP,1578442316,94,24.8,125.28,69.8,1.12
Macamic,90,CA,1578442370,92,48.75,-79,28.4,5.82
Cortez,1,US,1578442203,51,37.35,-108.58,37.99,6.93
Balikpapan,20,ID,1578442371,83,-1.24,116.86,77,5.82
Maltahohe,7,NA,1578442371,39,-24.83,16.98,66.24,5.12
Taoudenni,0,ML,1578442371,18,22.68,-3.98,56.43,13.6
Galle,18,GN,1578442372,71,10.08,-12.83,67.19,2.55
Saquena,0,PE,1578442372,68,-4.67,-73.52,79.47,2.13
Cowra,36,AU,1578442372,43,-33.84,148.69,86,3
Vaitape,13,PF,1578442372,80,-16.52,-151.75,82.17,18.32
Broome,100,GB,1578442296,82,52.47,1.45,57.2,20.8
Baculin,97,PH,1578442373,84,7.45,126.58,75.4,5.03
Clifton,90,US,1578442306,51,40.86,-74.16,41,7.87
Deputatskiy,100,RU,1578442373,93,69.3,139.9,-7.6,3.44
Wenling,0,CN,1578442374,74,28.38,121.38,47.79,19.39
Trelew,11,AR,1578442374,19,-43.25,-65.31,74.97,31.7
Zaozerne,0,UA,1578442374,76,51.37,23.94,27.34,6.67
Longyearbyen,40,NO,1578442375,68,78.22,15.63,30.2,38.03
Whitefish,90,US,1578442102,93,48.41,-114.33,39.99,11.41
Elko,1,US,1578442364,42,40.83,-115.76,44.6,10.29
Neepawa,5,CA,1578442375,64,50.23,-99.46,-4,12.75
Cassilandia,100,BR,1578442376,90,-19.11,-51.73,74.55,3
Tanete,88,ID,1578442376,69,-3.94,119.78,83.95,2.04
Ayni,2,TJ,1578442376,67,39.39,68.54,4.35,7.7
Coquimbo,0,CL,1578442376,68,-29.95,-71.34,66.2,9.17
Huangchuan,75,CN,1578442377,100,24.57,102.46,48.2,8.95
Lahaina,20,US,1578442377,65,20.87,-156.68,80.6,23.04
Manta,0,RO,1578442377,61,45.1,24.1,26.67,0.78
Kaili,99,ID,1578442377,81,-3.46,120.21,67.32,2.44
Matagalpa,40,NI,1578442378,64,12.92,-85.92,69.8,4.7
Pochutla,5,MX,1578442354,48,15.74,-96.47,86,13.27
Buarcos,20,PT,1578442378,93,40.16,-8.88,39.99,3.36
Amurrio,90,ES,1578442379,100,43.05,-3,46.99,3.36
Isla Vista,1,US,1578442379,32,34.41,-119.86,68,5.82
Xochistlahuaca,57,MX,1578442379,66,16.79,-98.24,72.43,3.8
Itoman,75,JP,1578442379,88,26.12,127.67,71.01,26.4
Itaituba,100,BR,1578442379,97,-4.26,-55.99,74.14,2.15
Tierra Colorada,40,MX,1578442380,78,17.17,-99.53,82.4,3.36
Praia da Vitoria,40,PT,1578442315,82,38.73,-27.07,66.2,20.42
Nhulunbuy,75,AU,1578442380,88,-12.18,136.78,82.4,10.29
Joshimath,100,IN,1578442380,99,30.57,79.57,27.25,5.14
Lekoni,82,GA,1578442380,44,-1.58,14.26,80.6,3.2
Ca Mau,67,VN,1578442381,82,9.18,105.15,76.8,6.46
Inhambane,0,MZ,1578442381,82,-23.87,35.38,79.72,10.02
Amalapuram,19,IN,1578442381,93,16.58,82,65.16,2.64
Ballina,100,IE,1578442360,85,54.11,-9.15,46.99,7
Lompoc,75,US,1578442381,82,34.64,-120.46,66.2,13.87
Olga,1,US,1578442382,27,34.11,-118.17,78.8,3.36
Avera,1,US,1578442382,35,33.19,-82.53,57.2,4.7
Talas,94,KG,1578442382,88,42.52,72.24,18.37,4.92
Forestville,90,CA,1578442382,73,48.74,-69.09,19.4,8.05
Luderitz,74,NA,1578442270,93,-26.65,15.16,62.6,6.93
Codrington,35,AU,1578442383,48,-28.95,153.24,84.2,4.7
Bukama,100,CD,1578442383,97,-9.2,25.85,69.78,1.59
Kaiserslautern,90,DE,1578442383,100,49.44,7.77,39,4.7
Pacific Grove,40,US,1578442383,71,36.62,-121.92,60.01,8.05
Faanui,13,PF,1578442348,80,-16.48,-151.75,82.17,18.32
Mokhsogollokh,96,RU,1578442384,95,61.4,128.95,5.11,2.71
Alofi,75,NU,1578442384,78,-19.06,-169.92,78.8,11.41
Pucallpa,75,PE,1578442384,100,-8.38,-74.54,35.6,9.17
Gazli,0,UZ,1578442384,51,40.13,63.45,29.53,7.72
Amguri,49,IN,1578442384,83,26.81,94.53,57.24,4.52
La Sarre,100,CA,1578442385,96,48.8,-79.2,26.55,4.12
Inirida,0,CO,1578442385,69,3.87,-67.92,78.08,2.42
Bonthe,47,SL,1578442385,75,7.53,-12.5,76.84,6.73
Rocha,0,UY,1578442305,52,-34.48,-54.34,61.56,4.63
College,75,US,1578442386,67,64.86,-147.8,-22,1.68
Opuwo,11,NA,1578442310,61,-18.06,13.84,67.73,8.5
Mehamn,75,NO,1578442373,87,71.03,27.85,35.6,13.87
Banda Aceh,80,ID,1578442377,88,5.56,95.32,71.13,6.04
Assiniboia,92,CA,1578442386,89,49.63,-105.99,5.13,6.49
Dungarvan,40,IE,1578442387,87,52.09,-7.62,51.01,9.17
Dembi Dolo,49,ET,1578442387,51,8.53,34.8,72.52,1.88
Parkes,46,AU,1578442102,28,-33.14,148.18,95,1.01
Spisska Bela,0,SK,1578442387,84,49.19,20.46,17.01,1.12
Nalut,0,LY,1578442388,82,31.86,10.98,43.68,0.27
La Maddalena,20,IT,1578442388,93,39.15,9.02,53.6,3.36
Islamkot,1,PK,1578442388,74,24.7,70.18,57.49,12.01
Port Hedland,75,AU,1578442388,88,-20.31,118.58,78.8,25.28
Mareeba,75,AU,1578442389,79,-16.99,145.42,84.2,12.75
Rome,40,IT,1578442200,71,41.89,12.48,44.6,4.7
Port Macquarie,3,AU,1578441925,54,-31.43,152.91,97,8.05
Nizhnyaya Poyma,95,RU,1578442389,94,56.16,97.2,11.97,7.07
Yarensk,100,RU,1578442389,93,62.17,49.09,16.88,7.63
Ormara,1,PK,1578442390,42,25.21,64.64,67.82,26.02
Bria,51,CF,1578442390,36,6.54,21.99,70.34,4.76
Trairi,100,BR,1578442390,83,-3.28,-39.27,75.96,0.83
Nara,75,JP,1578442390,93,34.68,135.8,57.2,1.12
Amahai,100,ID,1578442391,73,-3.31,129,82.13,8.32
Raudeberg,100,NO,1578442391,81,61.99,5.14,50,29.97
Beringovskiy,97,RU,1578442386,98,63.05,179.32,-4.86,7.09
Inuvik,20,CA,1578442391,65,68.36,-133.71,-34.6,4.7
Suntar,100,RU,1578442370,94,62.16,117.65,16.18,6.73
Cape Coast,27,GH,1578442392,81,5.11,-1.24,79.93,11.14
Emerald,40,AU,1578442392,61,-23.53,148.16,84,10.29
Hofn,84,IS,1578442392,58,64.25,-15.21,33.67,47.11
Teahupoo,40,PF,1578442393,66,-17.83,-149.27,87.8,6.93
Saskylakh,96,RU,1578442393,97,71.97,114.09,-3.55,8.1
Rawson,36,AR,1578442251,36,-43.3,-65.11,72.45,25.05
Manitouwadge,100,CA,1578442393,93,49.12,-85.84,1.38,9.4
Lakes Entrance,100,AU,1578442282,86,-37.88,147.99,68,9.31
Moron,1,HT,1578442367,78,18.56,-74.26,77.25,9.28
Erenhot,0,CN,1578442394,80,43.65,111.97,7.77,3.8
Bud,100,NO,1578442394,76,62.91,6.91,50,9.17
Rorvik,100,NO,1578442394,82,64.86,11.24,44.01,4
Tikhvin,100,RU,1578442395,95,59.64,33.53,35.01,4
Quchan,5,IR,1578442395,69,37.11,58.51,26.64,5.86
Aripuana,24,BR,1578442253,92,-9.17,-60.63,76.68,0.18
Beloha,0,MG,1578442395,88,-25.17,45.06,71.76,8.55
Jalu,7,LY,1578442395,80,29.03,21.55,48.83,9.01
Oro Valley,1,US,1578442396,13,32.39,-110.97,71.6,8.05
Bara,1,NG,1578442396,29,10.41,10.6,67.57,7.72
